index,G3
0,12.927285714285713
1,13.54937728937729
2,10.520142857142858
3,10.992761904761906
4,13.354763157894737
5,11.272714285714287
6,11.087705128205128
7,12.278333333333334
8,12.976376935929569
9,12.414246031746034
10,6.9
11,12.73105881342581
12,11.367142857142857
13,13.173333333333336
14,13.144087579087577
15,7.862857142857142
16,13.877293589019677
17,10.710999999999999
18,9.78
19,8.24
20,12.770672369917625
21,13.716821244115362
22,12.208531564088082
23,13.240940511243144
24,12.304955945588937
25,8.54
26,12.836883861236801
27,13.64734584980237
28,13.740001600154233
29,8.206666666666667
30,11.390666666666666
31,8.78
32,12.226277167277168
33,10.26
34,12.916437118437118
35,12.931800067082674
36,13.859043812396754
37,12.734523809523807
38,10.71857142857143
39,11.89904761904762
40,13.362658093540446
41,13.647041972520231
42,13.820151376848125
43,10.2
44,8.82
45,11.670550283050282
46,12.178055555555556
47,11.384
48,11.04
49,12.583375291375292
50,12.355555555555556
51,10.22
52,9.44
53,12.025811688311688
54,12.97507789434489
55,14.61926018589254
56,11.516404761904761
57,12.974958876063397
58,10.12
59,13.317400922765744
60,9.726666666666667
61,13.217279678068412
62,12.333488455988457
63,11.034691697191695
64,12.986372885497564
65,10.771285714285714
66,14.261735476655788
67,13.834164186862326
68,10.532695262483994
69,10.205
70,10.366833333333334
71,8.64
72,12.93672268907563
73,11.18
74,11.197012987012986
75,13.387725328451593
76,10.068333333333333
77,13.319272875816996
78,13.197887266558352
79,12.122857142857143
80,13.039059246326245
81,10.005
82,12.512857142857142
83,9.973333333333334
84,9.11
85,11.790928571428571
86,13.729187841144363
87,10.602222222222222
88,10.770999999999999
89,14.612179048767148
90,10.32
91,12.751404761904762
92,11.881515151515151
93,13.870019565848668
94,11.888818181818182
95,14.607816474605206
96,10.970318181818184
97,12.713541874808868
98,9.3
99,6.42
100,6.58
101,13.929833333333333
102,9.2
103,13.669261904761903
